Logging start...
GPS time;GPS FIX;GPS lat;GPS lon;GPS alt;int Temp;ext Temp;Press;Vsupply
00:00:03;NOFIX;00.000000;000.000000;0;22.2;-55.7;972;8.97
00:00:06;NOFIX;00.000000;000.000000;0;22.2;-54.4;971;8.97
00:00:09;NOFIX;00.000000;000.000000;0;22.2;-54.4;971;8.97
00:00:12;NOFIX;00.000000;000.000000;0;22.2;-55.7;971;8.96
00:00:15;NOFIX;00.000000;000.000000;0;22.1;-55.7;971;8.96
00:00:18;NOFIX;00.000000;000.000000;0;22.2;-55.7;971;8.96
00:00:21;NOFIX;00.000000;000.000000;0;22.1;-53.2;971;8.97
00:00:24;NOFIX;00.000000;000.000000;0;22.1;-54.4;971;8.96
00:00:27;NOFIX;00.000000;000.000000;0;22.1;-55.7;971;8.96
00:00:30;NOFIX;00.000000;000.000000;0;22.1;-54.4;971;8.96
00:00:33;NOFIX;00.000000;000.000000;0;22.1;-55.7;971;8.96
00:00:36;NOFIX;00.000000;000.000000;0;22.1;-54.4;971;8.96
00:00:39;NOFIX;00.000000;000.000000;0;22.1;-54.4;971;8.97
00:00:42;NOFIX;00.000000;000.000000;0;22.0;-53.2;971;8.97
00:00:45;NOFIX;00.000000;000.000000;0;22.0;-54.4;971;8.97
00:00:48;NOFIX;00.000000;000.000000;0;21.9;-54.4;971;8.97
00:00:51;NOFIX;00.000000;000.000000;0;21.9;-54.4;971;8.96
00:00:54;NOFIX;00.000000;000.000000;0;21.9;-54.4;971;8.96
00:00:57;NOFIX;00.000000;000.000000;0;21.9;-54.4;971;8.97
00:01:00;NOFIX;00.000000;000.000000;0;21.9;-54.4;971;8.97
00:01:03;NOFIX;00.000000;000.000000;0;21.9;-54.4;971;8.96
00:01:06;NOFIX;00.000000;000.000000;0;21.9;-54.4;971;8.97
00:01:09;NOFIX;00.000000;000.000000;0;21.9;-54.4;971;8.96
00:01:12;NOFIX;00.000000;000.000000;0;21.9;-55.7;971;8.96
00:01:15;NOFIX;00.000000;000.000000;0;21.8;-54.4;971;8.96
00:01:18;NOFIX;00.000000;000.000000;0;21.8;-55.7;971;8.96
00:01:21;NOFIX;00.000000;000.000000;0;21.8;-54.4;971;8.96
07:07:08;FIX;43.605863;011.311752;250;21.8;-54.4;971;8.96
07:07:11;FIX;43.605877;011.311705;244;21.8;-54.4;971;8.97
07:07:14;FIX;43.605878;011.311708;245;21.8;-54.4;971;8.96
07:07:17;FIX;43.605880;011.311707;245;21.7;-54.4;971;8.96
07:07:20;FIX;43.605887;011.311700;243;21.7;-54.4;971;8.96
07:07:23;FIX;43.605883;011.311685;241;21.7;-54.4;971;8.96
07:07:26;FIX;43.605885;011.311643;236;21.7;-54.4;971;8.96
07:07:29;FIX;43.605882;011.311650;236;21.7;-54.4;971;8.97
07:07:32;FIX;43.605883;011.311633;235;21.6;-54.4;970;8.96
07:07:35;FIX;43.605880;011.311625;235;21.6;-54.4;970;8.96
07:07:38;FIX;43.605875;011.311635;235;21.6;-54.4;971;8.96
07:07:41;FIX;43.605877;011.311633;235;21.6;-54.4;970;8.96
07:07:44;FIX;43.605878;011.311635;235;21.6;-55.7;971;8.96
07:07:47;FIX;43.605880;011.311640;235;21.6;-54.4;971;8.96
07:07:50;FIX;43.605888;011.311645;236;21.5;-54.4;971;8.96
07:07:53;FIX;43.605897;011.311660;237;21.5;-53.2;971;8.97
07:07:56;FIX;43.605893;011.311668;238;21.5;-55.7;970;8.96
07:07:59;FIX;43.605907;011.311672;239;21.5;-54.4;970;8.96
07:08:02;FIX;43.605920;011.311680;241;21.5;-54.4;970;8.96
07:08:05;FIX;43.605917;011.311682;241;21.5;-54.4;971;8.96
07:08:08;FIX;43.605915;011.311683;241;21.4;-55.7;970;8.96
07:08:11;FIX;43.605917;011.311685;241;21.5;-54.4;970;8.96
07:08:14;FIX;43.605920;011.311692;242;21.5;-54.4;971;8.96
07:08:17;FIX;43.605928;011.311693;243;21.4;-54.4;970;8.96
07:08:20;FIX;43.605933;011.311690;243;21.4;-54.4;971;8.96
07:08:23;FIX;43.605937;011.311695;244;21.4;-54.4;970;8.96
07:08:26;FIX;43.605937;011.311702;245;21.4;-54.4;970;8.96
