Logging start...
GPS time;GPS FIX;GPS lat;GPS lon;GPS alt;int Temp;ext Temp;Press;Vsupply
09:00:02;FIX;43.606485;011.311800;238;37.4;27.5;967;9.05
09:00:05;FIX;43.606482;011.311790;238;37.4;27.5;967;9.05
09:00:08;FIX;43.606480;011.311787;238;37.4;27.4;967;9.05
09:00:11;FIX;43.606478;011.311782;237;37.4;27.4;967;9.05
09:00:14;FIX;43.606478;011.311775;238;37.4;27.2;967;9.06
09:00:17;FIX;43.606477;011.311773;238;37.4;27.0;967;9.06
09:00:20;FIX;43.606477;011.311765;238;37.4;27.0;967;9.06
09:00:23;FIX;43.606473;011.311768;239;37.4;27.1;967;9.06
09:00:26;FIX;43.606475;011.311768;239;37.4;27.3;967;9.06
09:00:29;FIX;43.606477;011.311772;239;37.4;27.7;967;9.06
09:00:32;FIX;43.606478;011.311773;239;37.5;28.1;967;9.06
09:00:35;FIX;43.606478;011.311778;239;37.5;28.3;967;9.06
09:00:38;FIX;43.606480;011.311783;239;37.5;28.4;967;9.06
09:00:41;FIX;43.606483;011.311790;239;37.5;28.4;967;9.06
09:00:44;FIX;43.606482;011.311798;238;37.5;28.5;967;9.06
09:00:47;FIX;43.606480;011.311807;238;37.5;28.5;967;9.06
09:00:50;FIX;43.606478;011.311810;237;37.5;28.6;967;9.06
09:00:53;FIX;43.606475;011.311805;237;37.5;28.7;967;9.06
09:00:56;FIX;43.606470;011.311798;236;37.5;28.7;967;9.05
09:00:59;FIX;43.606472;011.311798;235;37.5;28.7;968;9.06
09:01:02;FIX;43.606472;011.311797;235;37.5;28.8;967;9.06
09:01:05;FIX;43.606473;011.311797;235;37.5;28.8;967;9.06
09:01:08;FIX;43.606473;011.311797;235;37.5;28.8;967;9.06
09:01:11;FIX;43.606473;011.311803;235;37.5;28.9;967;9.06
09:01:14;FIX;43.606475;011.311815;235;37.5;28.9;967;9.06
09:01:17;FIX;43.606477;011.311820;234;37.5;28.9;967;9.06
09:01:20;FIX;43.606475;011.311820;234;37.6;29.1;967;9.06
09:01:23;FIX;43.606473;011.311818;234;37.5;29.1;967;9.06
09:01:26;FIX;43.606477;011.311815;233;37.6;29.3;967;9.06
09:01:29;FIX;43.606478;011.311820;233;37.6;29.3;967;9.06
09:01:32;FIX;43.606480;011.311823;233;37.6;29.6;967;9.06
09:01:35;FIX;43.606482;011.311830;234;37.6;29.5;967;9.05
09:01:38;FIX;43.606482;011.311832;234;37.6;29.6;967;9.06
09:01:41;FIX;43.606482;011.311837;234;37.6;29.7;967;9.06
09:01:44;FIX;43.606483;011.311840;235;37.6;29.2;967;9.06
09:01:47;FIX;43.606485;011.311842;235;37.6;28.7;967;9.06
09:01:50;FIX;43.606487;011.311837;234;37.6;27.9;967;9.06
09:01:53;FIX;43.606483;011.311830;234;37.6;27.6;967;9.06
09:01:56;FIX;43.606475;011.311828;234;37.6;27.2;965;9.07
09:01:59;FIX;43.606468;011.311830;234;37.6;27.1;967;9.07
09:02:02;FIX;43.606468;011.311833;235;37.7;27.1;967;9.06
09:02:05;FIX;43.606463;011.311843;234;37.7;27.1;967;9.06
09:02:08;FIX;43.606462;011.311850;234;37.6;27.0;967;9.06
09:02:11;FIX;43.606460;011.311855;233;37.6;27.0;967;9.06
09:02:14;FIX;43.606462;011.311857;232;37.7;27.2;967;9.06
09:02:17;FIX;43.606465;011.311858;231;37.7;27.6;967;9.06
09:02:20;FIX;43.606468;011.311857;231;37.7;27.5;967;9.06
09:02:23;FIX;43.606468;011.311848;230;37.7;27.7;967;9.06
09:02:26;FIX;43.606472;011.311840;230;37.7;27.7;967;9.06
09:02:29;FIX;43.606475;011.311835;229;37.7;27.3;967;9.06
09:02:32;FIX;43.606483;011.311837;229;37.7;27.0;967;9.06
09:02:35;FIX;43.606487;011.311833;229;37.7;27.0;967;9.07
09:02:38;FIX;43.606485;011.311827;229;37.7;27.0;967;9.06
09:02:41;FIX;43.606485;011.311822;228;37.7;27.1;967;9.06
09:02:44;FIX;43.606482;011.311808;228;37.8;27.4;967;9.06
09:02:47;FIX;43.606477;011.311798;228;37.7;27.3;967;9.07
09:02:50;FIX;43.606477;011.311800;229;37.8;27.1;967;9.06
09:02:53;FIX;43.606480;011.311800;229;37.8;27.2;967;9.07
09:02:56;FIX;43.606480;011.311793;229;37.8;27.3;967;9.06
09:02:59;FIX;43.606480;011.311788;229;37.8;27.5;967;9.06
09:03:02;FIX;43.606477;011.311783;229;37.8;27.7;967;9.06
09:03:05;FIX;43.606477;011.311782;228;37.8;27.8;967;9.06
09:03:08;FIX;43.606480;011.311792;228;37.8;28.0;967;9.06
09:03:11;FIX;43.606482;011.311800;228;37.8;28.1;967;9.06
09:03:14;FIX;43.606482;011.311805;227;37.9;28.2;968;9.07
09:03:17;FIX;43.606480;011.311810;227;37.8;28.3;967;9.07
09:03:20;FIX;43.606477;011.311805;227;37.8;28.0;968;9.06
09:03:23;FIX;43.606475;011.311807;228;37.8;28.6;967;9.07
09:03:26;FIX;43.606473;011.311812;228;37.8;29.3;967;9.06
09:03:29;FIX;43.606472;011.311818;228;37.8;29.9;967;9.06
09:03:32;FIX;43.606470;011.311815;228;37.9;30.2;967;9.06
09:03:35;FIX;43.606467;011.311817;228;37.9;30.6;967;9.06
